block_type,heaviness_score,p_value
X,0.46333865565620536,0.0
C,0.43950694768035353,0.0
O,0.411258050860344,0.0
T,0.3385506844739801,0.0
r,0.21771906509296118,1.0244316506202722e-10
R,0.14501571900287197,1.4444265030277847e-05
S,0.0986676619745318,0.0028431664767620823
